run,key,regime,user,controller,feature_kind,method,M,L,proposal_std,episodes,task_success_count,successful_target_count,target_rate,fallback_count,mean_valid_current_fraction,batch_replan_seconds
mode-aligned-ablation-M32-std1,gaussian__lower_wide_width__soft__m32,gaussian,lower_wide_width,oracle,mode,soft,32,4,1.0,16,16,9,0.5625,0,1.0,15.891428883071057
mode-aligned-ablation-M32-std1,gaussian__lower_wide_width__best__m32,gaussian,lower_wide_width,oracle,mode,best,32,4,1.0,16,16,9,0.5625,0,1.0,15.89554041804513
mode-aligned-ablation-M128-std1,centered__upper_narrow_direction__soft__m128,centered,upper_narrow_direction,oracle,mode,soft,128,4,1.0,16,16,16,1.0,0,1.0,14.423151167924516
mode-aligned-ablation-M128-std1,centered__upper_narrow_direction__best__m128,centered,upper_narrow_direction,oracle,mode,best,128,4,1.0,16,16,16,1.0,0,1.0,13.997811938053928
mode-aligned-ablation-M128-std1,centered__upper_narrow_width__soft__m128,centered,upper_narrow_width,oracle,mode,soft,128,4,1.0,16,16,12,0.75,0,1.0,14.141398072941229
mode-aligned-ablation-M128-std1,centered__upper_narrow_width__best__m128,centered,upper_narrow_width,oracle,mode,best,128,4,1.0,16,16,16,1.0,0,1.0,15.885357470950112
mode-aligned-ablation-M128-std1,centered__upper_wide_direction__soft__m128,centered,upper_wide_direction,oracle,mode,soft,128,4,1.0,16,16,0,0.0,0,1.0,14.023273941071238
mode-aligned-ablation-M128-std1,centered__upper_wide_direction__best__m128,centered,upper_wide_direction,oracle,mode,best,128,4,1.0,16,16,0,0.0,0,1.0,14.179651174054015
mode-aligned-ablation-M128-std1,centered__upper_wide_width__soft__m128,centered,upper_wide_width,oracle,mode,soft,128,4,1.0,16,16,0,0.0,0,1.0,14.145437320810743
mode-aligned-ablation-M128-std1,centered__upper_wide_width__best__m128,centered,upper_wide_width,oracle,mode,best,128,4,1.0,16,16,0,0.0,0,1.0,13.980340530979447
mode-aligned-ablation-M128-std1,centered__lower_narrow_direction__soft__m128,centered,lower_narrow_direction,oracle,mode,soft,128,4,1.0,16,16,16,1.0,0,1.0,13.978728967078496
